Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Cinemark Lincoln Square,Bellevue,WA,,,West,Venue,,,https://www.cinemark.com/washington/cinemark-lincoln-square,WikidataSPARQL,wd-Q43305575,90
Crossroads Quad Cinemas,Bellevue,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305571,85
John Danz Theatre,Bellevue,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305573,85
Meydenbauer Center,Bellevue,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/MeydenbauerC_WA_123032_4Z.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmeydenbauer-center-tickets-bellevue%2Fvenue%2F123032&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1vntA,80
Northwest Arts Center,Bellevue,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnorthwest-arts-center-tickets-bellevue%2Fvenue%2F123612&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tI7A,80
Overlake Cinema I & II,Bellevue,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305576,85
Regal Crossroads 8,Bellevue,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305577,90
Regal Crossroads Stadium 8,Bellevue,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305578,90
Sunset Drive-In,Bellevue,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305457,85
Theater At Meydenbauer,Bellevue,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftheater-at-meydenbauer-tickets-bellevue%2Fvenue%2F123213&utm_medium=affiliate,Ticketmaster,tmv-KovZpap5Ye,80
Parlor Live Bellevue,"Bellevue, WA",WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZad8R,75
Aftermath Clubhouse,Bellingham,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Aftermath%20Clubhouse.JPG,,WikidataSPARQL,wd-Q4690753,85
American Theatre,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305579,85
Avalon Theatre,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305580,85
