Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Social Links,Source(s),Venue ID,Confidence
Vitaphone Theatre,Wenatchee,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307082,92
McChord Theater,Joint Base Lewis-McChord,WA,,,West,Theatre,,,https://jblm.armymwr.com/programs/carey-thea,,WikidataSPARQL,wd-Q99195669,95
"Capitol Theatre, Yakima",Yakima,WA,1500,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/CapitolTheatreBalcony.jpg,https://www.capitoltheatre.org,,WikidataSPARQL,wd-Q5035951,95
"Capitol Theatre, Yakima",Yakima,WA,1500,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/CapitolTheatreExterior.jpg,https://www.capitoltheatre.org,,WikidataSPARQL,wd-Q5035951,95
Kiggins Theatre,Vancouver,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Kiggins%20Theater%20-%20Vancouver%20Washington.jpg,http://kigginstheatre.com,https://x.com/KigginsTheatre,WikidataSPARQL,wd-Q6405943,95
Liberty Theatre,Walla Walla,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Walla%20Walla%20-%20Liberty%20theater.jpg,,,WikidataSPARQL,wd-Q17016966,92
D & R Theatre,Aberdeen,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%2C%20WA%20-%20D%20%26%20R%20Theatre.jpg,http://www.dandrtheatre.rocks,,WikidataSPARQL,wd-Q43305239,95
Island Theatre,Anacortes,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Anacortes%20-%20Bank%20of%20the%20Pacific.jpg,,,WikidataSPARQL,wd-Q43305241,92
Admiral Theatre,Bremerton,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Bremerton%2C%20WA%20-%20Admiral%20Theater%2001.jpg,http://www.admiraltheatre.org,,WikidataSPARQL,wd-Q43305246,95
Roxy Theater,Bremerton,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Bremerton%2C%20WA%20-%20Roxy%20Theater%2001.jpg,http://www.RoxyRevival.org,,WikidataSPARQL,wd-Q43305247,95
Liberty Theater,Centralia,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Centralia%2C%20WA%20-%20Liberty%20Building%2002.jpg,,,WikidataSPARQL,wd-Q43305248,92
Chehalis Theatre,Chehalis,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Chehalis%20Theater.jpg,,,WikidataSPARQL,wd-Q43305249,92
St. Helens Theatre,Chehalis,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Chehalis%2C%20WA%20%E2%80%94%20Former%20St.%20Helen%27s%20Theater%2C%20St.%20John%27s%20Garage.jpg,,,WikidataSPARQL,wd-Q43305250,92
Concrete Theatre,Concrete,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Concrete%2C%20WA%20-%20Concrete%20Theatre%2001.jpg,http://www.concrete-theatre.com/concrete/Home.html,,WikidataSPARQL,wd-Q43305256,95
North Bend Theatre,North Bend,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/North%20Bend%2C%20WA%20-%20movie%20theater.jpg,http://www.northbendtheatre.com,,WikidataSPARQL,wd-Q43305296,95
Renton Civic Theatre,Renton,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Renton%2C%20WA%20-%20Renton%20Civic%20Theater.jpg,http://www.rentoncivictheatre.org,,WikidataSPARQL,wd-Q43305322,95
Fox Theatre,Centralia,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fox%20Theatre%20in%20Centralia%2C%20WA.jpg,http://www.centraliafoxtheatre.com,,WikidataSPARQL,wd-Q43305364,95
Aberdeen Theatre,Aberdeen,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305555,92
New Bijou Theatre,Aberdeen,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305556,92
Weir Theatre,Aberdeen,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305558,92
Auburn Avenue Theater,Auburn,WA,,,West,Theatre,,,http://www.auburnwa.gov/things_to_do/arts_entertainment/auburn_avenue_theater.htm,,WikidataSPARQL,wd-Q43305559,95
Avon Theatre,Auburn,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305560,92
Granada Theatre,Auburn,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305562,92
Avon Theater,Bothell,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305595,92
Bremerton Movie Lounge,Bremerton,WA,,,West,Venue,,,http://www.navylifepnw.com/site/79/Bremerton-Cinema.aspx,,WikidataSPARQL,wd-Q43305600,95
Colonial Theatre,Bremerton,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305605,92
Rex Theater,Bremerton,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305608,92
Grand Theatre,Centralia,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305628,92
Orpheum Theater,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305668,92
Princess Theatre,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305669,92
Roxy Theatre,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305672,92
Olympic Theater,Forks,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305678,92
Grand Theatre,Renton,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305812,92
Rainier Theater,Renton,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305815,92
Roxy Theatre,Renton,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305819,92
North Star Theatre,Richland,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305822,92
Queensgate 12,Richland,WA,,,West,Venue,,,http://www.fairchildcinemas.com,,WikidataSPARQL,wd-Q43305825,95
Richland Theater,Richland,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Richland%20Players%20Theater.jpg,http://www.richlandplayers.org,,WikidataSPARQL,wd-Q43305826,95
